id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
5280509626417843	,QxMqeqVzB,分享图片 ,,https://wx4.sinaimg.cn/large/001Ptb3ygy1ibjn850ibaj61hc2gwqil02.jpg,,,,2026-03-26T00:11:05,,77158,1,2746,,,2026-03-26 00:11:05,False,0,True
5280111859343054	,QxC4FDcyq,分享图片 ,,https://wx1.sinaimg.cn/large/001Ptb3ygy1ibidkbum3ej61hc2gwnd702.jpg,,,,2026-03-24T21:50:30,,828818,11,166807,,,2026-03-24 21:50:30,False,0,True
5275756102159000	,QvMLg93EA,今天特别想写点什么。。。。还是算了吧。。。 ,,,,,,2026-03-12T21:22:16,HUAWEI Mate 60 Pro,99579,150,1503,,,2026-03-12 21:22:16,False,0,True
5273232752253228	,QuJ7l9sao,好久不播考研了，播了一下，感觉还挺好。。。。 ,,,,,,2026-03-05T22:15:23,HUAWEI Mate 60 Pro,13977,73,39,,,2026-03-05 22:15:23,False,0,True
5272375444641746	,QumOAjtwS,"放平心态
戒骄戒躁
 ",,,,,,2026-03-03T13:28:45,HUAWEI Mate 60 Pro,8271,67,76,,,2026-03-03 13:28:45,False,0,True
5271261691516018	,QtTQd6mnU,"#2026考研国家线发布#国家线出来了，很多人可能不理解为什么考研人数减少了，有些专业分数线却涨了？？？分数线涨跌其实不是人数影响的，主要看两点，第一，当年试题难易程度，题简单就可能上涨，题难分数线就可能下降！第二，考生发挥程度，比如英语水平，同学们发挥的大多都很好，那么久可能上涨，没那么好就下降！
还要说一点就是，一定要重视复试！！！！",,,,,,2026-02-28T11:43:05,HUAWEI Mate 60 Pro,15149,275,207,2026考研国家线发布,,2026-02-28 11:43:05,False,0,True
5269892685106393	,Qtke8lqpb,#考研出分时间#大家不要着急，成绩的高低跟出分时间没有关系，做好自己该做好的事情，该准备论文准备论文，有信心的该准备好复试准备复试，相信自己的努力一定会有回报，总之不管是考研，考公，还是生活，充满信心就对了！！！！加油！！！！ ,,,,,,2026-02-24T17:03:09,HUAWEI Mate 60 Pro,9245,120,109,考研出分时间,,2026-02-24 17:03:09,False,0,True
5267112545486698	,Qs9U2n1l8,今年还是看了一会春晚的，我想，我们能有今天的生活，我们的先人，为新中国成立贡献了力量甚至生命的先辈，为改革开放后经济发展，教育发展，科技发展贡献了力量的人，他们能知道的话，一定非常非常欣慰！！！感谢这些人，为我们能有今天的生活付出过的努力！！！ ,,,,,,2026-02-17T00:55:52,HUAWEI Mate 60 Pro,14234,254,117,,,2026-02-17 00:55:52,False,0,True
5263961903336420	,QqPWmdZXe,985的教授，吹起牛来，是真疯狂啊。。。。这跟卖假药有什么差别啊？？？？ ,,,,,,2026-02-08T08:16:20,HUAWEI Mate 60 Pro,11849,299,145,,,2026-02-08 08:16:20,False,0,True
5263597066259665	,QqGrUqgql,用ai去生成视频，说我认为金价暴涨是今年高考作文的必考内容，然后卖作文书！！！！这个事就没人能管么？你投诉，他下视频，然后呢？？？快一万的转发了！！！这对我的负面影响有多大？？？ ,,https://wx3.sinaimg.cn/large/001Ptb3ygy1ia1ou4apkij60u01srjyl02.jpg,,,,2026-02-07T08:06:36,HUAWEI Mate 60 Pro,4421,153,67,,,2026-02-07 08:06:36,False,0,True
5262671312061027	,QqimL8Ean,"疯狂用AI生成我的视频卖东西，这个事就没人管管么
 ",,,,,,2026-02-04T18:47:59,HUAWEI Mate 60 Pro,6994,339,62,,,2026-02-04 18:47:59,False,0,True
5260895959385732	,QpybhDnEM,收到！,,,,,,2026-01-30T21:13:22,HUAWEI Mate 60 Pro,721,26,4,,,2026-01-30 21:13:22,False,0,False,1157502503,峰林海涛,5260892413624956	,Qpy5zfd12,"1️⃣ 有问题，平台会回应
不是“已收到”，而是“说清楚、讲明白”
 • 2025 年，微博官方账号全年回应热点与用户关切 数百次
 • 争议事件有跟进、谣言有解释、处理结果有公示
👉 让用户“看得见平台在做什么”
⸻
2️⃣ 社区不是平台一个人管，是大家一起管
规则，不只写在公告里，也写在你的参与里
 • 480 万用户参与「大众评议」
 • 3200 万次真实投票
👉 你的判断，真的在影响社区秩序
⸻
3️⃣ 志愿者在一线守护社区
很多“被清理的内容”，来自用户的主动发现
 • 社区志愿者全年协助处置违规信息 2498 万条
 • 普通用户也能参与守护微博环境
⸻
4️⃣ 谣言，跑不过真相
假消息不是“吵赢了就算数”
 • 全年清理谣言信息 31 万条
 • 处置谣言账号 3600+
 • 5712 条官方辟谣微博
👉 谣言治理，有数据、有闭环
⸻
5️⃣ 热点事件下，你能看到更多“补充信息”
不只看一面之词
 • 超 1600 万用户可使用「微博附注」
 • 日均曝光超 2000 万
👉 官方 + 用户共同补全事实
⸻
6️⃣ 投诉不再“石沉大海”
处理更快，过程更透明
 • 5 分钟内处理完成占比 提升至 86%
 • 30 分钟内完成占比 95%
👉 维权不靠运气，靠机制
⸻
7️⃣ AI 可以用，但不能乱用
你看到的 AI 内容，会被标出来
 • 月均 AI 内容标识 100 万+
 • 严打 AI 造谣、AI 诈骗、AI 假信息
👉 技术进步，不以牺牲信任为代价
⸻
8️⃣ 热搜不是谁想上就能上
更重公众关切，而不是“刷出来的热度”
 • 优化热搜算法，引入公众性指标
 • 严控前十内容质量
👉 热度更透明，讨论更有价值
⸻
9️⃣ 对立情绪，不是流量工具
挑动对立，会被治理
 • 清理性别对立相关违规内容 64 万+
 • 体育饭圈负面内容明显下降
👉 鼓励讨论，不纵容对立
⸻
🔟 诈骗，平台会主动拦
不是等你中招了才提醒
 • 关闭涉诈账号 635 万+
 • 阻断高风险对话 544 万+
 • 主动安全提醒 6800 万+
👉 平台替你多拦一道风险
⸻
一句话「用户向总价值表达」（很适合收尾）
微博想做的不是一个“热闹但危险”的平台，而是一个“可以放心表达、安心参与”的社区。",,https://wx2.sinaimg.cn/large/44fe1627gy1i9t29dlxgyj20u05vu7wh.jpg,,,,2026-01-30T20:59:17,iPhone 16 Pro Max,365,166,309,,,2026-01-30 20:59:17
5257519857404234	,Qo8lXv4b8,"刚才在一个连锁餐厅吃饭，突然过来一个服务员，问吃的怎么样，有什么样的建议。。。。我说挺好的。。。。服务员又说，吃的有什么问题，可以提，小问题我们可以解决，吃的开心就好。。。。问题来了，他是不是怕我发微博
 ",,,,,,2026-01-21T13:37:57,HUAWEI Mate 60 Pro,9704,780,94,,,2026-01-21 13:37:57,False,0,True
5257178432668973	,QnZthbcjX,"你们觉得感冒了，是发烧难受还是流鼻涕鼻塞难受
 ",,,,,,2026-01-20T15:01:15,HUAWEI Mate 60 Pro,2356,353,24,,,2026-01-20 15:01:15,False,0,True
5255320776480195	,Qnd93rbNh,#聂卫平逝世#对于我们80后来说，聂卫平先生就是一个传奇！！！棋圣再见🕯🕯🕯🕯🕯🕯 ,,,,,,2026-01-15T11:59:35,HUAWEI Mate 60 Pro,3646,73,61,聂卫平逝世,,2026-01-15 11:59:35,False,0,True
5253141964521607	,QmisQiYh9,咦～～～～让我发个微博，纪念一下我做梦都不敢梦的一天！！！！！！ ,,,,,,2026-01-09T11:41:45,HUAWEI Mate 60 Pro,6987,603,111,,,2026-01-09 11:41:45,False,0,True
5250343618479616	,Ql7FnzzW0,"2026年第一场麻将，这种牌怎么打
 ",,https://wx3.sinaimg.cn/large/001Ptb3ygy1i8veqliwkfj61400u045002.jpg,,,,2026-01-01T18:22:08,HUAWEI Mate 60 Pro,2489,330,24,,,2026-01-01 18:22:08,False,0,True
5250245467570955	,Ql574vLyb,祝愿大家2025牛牛牛。。。。 ,,https://wx1.sinaimg.cn/large/001Ptb3ygy1i8v3gwcgv1j60z023kdt002.jpg,,,,2026-01-01T11:52:07,HUAWEI Mate 60 Pro,3919,159,32,,,2026-01-01 11:52:07,False,0,True
5248002767979211	,Qk8LOxtKX,冬天骑电动车真冷。。。。 ,,,,,,2025-12-26T07:20:26,HUAWEI Mate 60 Pro,3268,399,50,,,2025-12-26 07:20:26,False,0,True
5246368023056075	,Qjsf8cP1x,你们一直念叨的斌斌老师，我给请来了！欢迎@颉斌斌老师 加入研途，以后英语这块有屠皓民老师、斌斌老师、唐迟老师，你们可以把心放肚子里了。#颉斌斌官宣##考研结束##考研# ,,,,,,2025-12-21T19:04:32,,2483,71,30,"颉斌斌官宣,考研结束,考研",颉斌斌老师,2025-12-21 19:04:32,False,0,True
5244923540415003	,QiQFk1JXB,我的2025，结束了。。。。 ,,,,,,2025-12-17T19:24:41,HUAWEI Mate 60 Pro,3907,353,45,,,2025-12-17 19:24:41,False,0,True
5244144243184001	,QiwoodmiR,最近不少同学问我怎么看“打假测评”。抖音电商这次新规的核心很简单：打假可以，但要讲证据、讲标准，更不能一边自称第三方，一边在同一赛道带货赚钱。否则被认定为争议账号，内容不再加热，商业闭环也被掐断。教育行业也一样，做内容吃的是信誉饭，别把信任当流量收割机！ ,,https://wx1.sinaimg.cn/large/001Ptb3ygy1i8bmqsqcmqj60zk2ggh0n02.jpg,,,,2025-12-15T15:48:02,,727,36,11,,,2025-12-15 15:48:02,False,0,True
5243321024252856	,QiaYChQms,勿忘历史，吾辈自强,,,,,,2025-12-13T09:16:51,HUAWEI Mate 60 Pro,1271,49,31,,,2025-12-13 09:16:51,False,0,False,2656274875,央视新闻,5243309926908724	,QiaGIsZh2,"【#南京今日将鸣响防空警报#】#铭记12月13日##南京大屠杀死难者国家公祭# 今天上午10时，将在侵华日军南京大屠杀遇难同胞纪念馆举行国家公祭仪式。10∶01—10∶02防空警报鸣响期间，南京全市主城区范围内道路上行驶的机动车应当停驶鸣笛致哀，火车、船舶同时鸣笛致哀，道路上的行人、公共场所的人员同时就地默哀，致哀1分钟后恢复正常。铭记历史！ 
央视新闻的微博视频",,,"https://f.video.weibocdn.com/o0/ZXZP7FhAlx08tI4A9gaQ01041200hwft0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1778075198&ssig=pijoYu1YZP&KID=unistore,video",,,2025-12-13T08:32:45,微博视频号,6269,1222,1332,"南京今日将鸣响防空警报,铭记12月13日,南京大屠杀死难者国家公祭",,2025-12-13 08:32:45
5239798623375637	,QgHlkea9L,"处罚期已过，已经深刻反省，谢谢大家的关心支持！以后不会了
 ",,,,,,2025-12-03T16:00:05,HUAWEI Mate 60 Pro,52324,3706,825,,,2025-12-03 16:00:05,False,0,True
5229615725679411	,QcqrinPtp,声明:最近我自己和很多朋友都刷到了一本名为学霸手帐的书，声称是我带领教辅团队做的！什么不再印刷了什么的，未经我的授权，用我的视频，音频进行宣传！！再次声明学霸手帐跟我一点关系没有，请广大消费者去退货，我也收集了证据，相关公司，法院见吧！ ,,,,,,2025-11-05T13:36:53,,7799,839,88,,,2025-11-05 13:36:53,False,0,True
